uid,area_in_ha,latest_runoff_mm,latest_precipitation_mm,latest_et_mm,latest_surface_water_ha,latest_cropping_intensity,protection_area_ha,urbanization_area_ha,deforestation_area_ha,soge_dev_percent,soge_class_name,terrain_description,runoff_signal,surface_water_signal,cropping_signal,protection_signal,soge_signal,urbanization_pressure,deforestation_pressure,positive_signal_mean,pressure_mean,exploratory_signal_raw,exploratory_planning_signal,score_summary
12_321370,1638.001990145203,69.42,537.13,480.29,19.01,1.69,1330.92,8.67,8.85,85.99,Semi-Critical,Mostly Plains,0.2256944444444445,0.6414584740040514,0.14473684210526302,0.259262379218575,0.722551130247578,0.19762532981530345,0.10049273858921161,0.3987406540039824,0.14905903420225752,0.32421113690285364,100.0,"runoff=69.4 mm, surface water=19.01 ha, cropping=1.69, protection=1330.92 ha"
12_334416,788.6206388745345,62.49,527.84,586.61,1.1,2.09,643.4,4.57,10.31,93.36,Critical,Mostly Plains,0.1504991319444445,0.03679945982444295,0.6710526315789472,0.04475893634347007,0.9208826695371367,0.08944591029023749,0.11942427385892117,0.3647985658456883,0.10443509207457932,0.31258101980839864,97.59,"runoff=62.5 mm, surface water=1.10 ha, cropping=2.09, protection=643.40 ha"
12_326245,3344.917075713361,79.61,534.76,542.45,8.42,1.97,2719.89,10.93,42.42,85.99,Semi-Critical,Mostly Plains,0.33626302083333337,0.2839297771775827,0.5131578947368421,0.6926153682955973,0.722551130247578,0.25725593667546176,0.5357883817427386,0.5097034382581868,0.39652215920910017,0.3114423586536367,97.36,"runoff=79.6 mm, surface water=8.42 ha, cropping=1.97, protection=2719.89 ha"
12_303156,682.9309905646076,87.75,583.87,721.45,0.96,2.34,555.93,3.27,8.04,66.16,Safe,Mostly Plains,0.42458767361111116,0.032072923700202566,1.0,0.017468652208775182,0.18891280947255104,0.05514511873350923,0.08998962655601658,0.33260841179852796,0.0725673726447629,0.2963247254761465,94.23,"runoff=87.8 mm, surface water=0.96 ha, cropping=2.34, protection=555.93 ha"
12_332855,1580.697246817878,94.77,579.6,637.27,1.93,1.99,1284.59,3.39,4.26,67.97,Safe,Mostly Plains,0.5007595486111112,0.06482106684672519,0.5394736842105263,0.24480760770879542,0.23762109795479008,0.058311345646437994,0.04097510373443983,0.31749660106638966,0.049643224690438914,0.2926749887211702,93.47,"runoff=94.8 mm, surface water=1.93 ha, cropping=1.99, protection=1284.59 ha"
12_334491,995.736776492404,60.77,527.84,635.81,0.62,2.04,812.5,6.39,10.04,93.36,Critical,Mostly Plains,0.13183593750000006,0.020594193112761647,0.605263157894737,0.09751744837247323,0.9208826695371367,0.137467018469657,0.11592323651452281,0.3552186812834217,0.12669512749208992,0.29187111753737677,93.31,"runoff=60.8 mm, surface water=0.62 ha, cropping=2.04, protection=812.50 ha"
12_301775,854.4736090494711,75.69,545.93,771.86,1.86,2.16,696.94,8.76,12.71,85.64,Semi-Critical,Mostly Plains,0.2937282986111111,0.06245779878460501,0.7631578947368424,0.061463198519891314,0.7131324004305706,0.2,0.15054460580912865,0.37878791821660407,0.17527230290456433,0.2911517667643219,93.16,"runoff=75.7 mm, surface water=1.86 ha, cropping=2.16, protection=696.94 ha"
12_321634,697.8940606404977,88.1,588.58,620.58,0.37,2.16,568.81,4.35,12.67,76.38,Semi-Critical,Mostly Plains,0.42838541666666663,0.012153950033760973,0.7631578947368424,0.021487159807436096,0.46393972012917106,0.08364116094986808,0.1500259336099585,0.33782482827477545,0.1168335472799133,0.27940805463481877,90.73,"runoff=88.1 mm, surface water=0.37 ha, cropping=2.16, protection=568.81 ha"
12_320415,712.2290019786602,83.9,578.56,655.29,0.71,1.87,581.14,3.63,4.49,85.64,Semi-Critical,Mostly Plains,0.3828125000000001,0.02363268062120189,0.3815789473684212,0.025334069643731843,0.7131324004305706,0.06464379947229552,0.043957468879668046,0.30529811961278513,0.054300634175981785,0.27814780252479426,90.47,"runoff=83.9 mm, surface water=0.71 ha, cropping=1.87, protection=581.14 ha"
12_310957,889.5471562649088,51.96,548.75,563.31,8.26,1.87,720.53,4.29,13.15,93.36,Critical,Mostly Plains,0.03624131944444448,0.2785280216070223,0.3815789473684212,0.0688231825456996,0.9208826695371367,0.0820580474934037,0.15625,0.33721082810054487,0.11915402374670185,0.27763381622719396,90.36,"runoff=52.0 mm, surface water=8.26 ha, cropping=1.87, protection=720.53 ha"
