date,et,runoff,precipitation,ndvi_crop,ndvi_shrub,ndvi_tree
2017-07-01,52.82,0.0,206.03,,,
2017-07-15,60.0,0.0,41.67,,,
2017-07-29,71.5,0.0,124.26,,,
2017-08-12,77.97,0.0,53.09,,,
2017-08-26,83.32,0.0,32.02,,,
2017-09-09,69.97,0.0,14.69,,,
2017-09-23,66.61,0.0,14.48,,,
2017-10-07,63.35,0.0,0.08,,,
2017-10-21,49.29,0.0,0.0,,,
2017-11-04,28.31,0.0,2.59,,,
2017-11-18,21.09,0.0,0.0,,,
2017-12-02,14.46,0.0,0.0,,,
2017-12-16,14.47,0.0,0.0,,,
2017-12-30,17.67,0.0,0.0,,,
2018-01-13,21.44,0.0,0.0,,,
2018-01-27,29.45,0.0,0.0,,,
2018-02-10,30.56,0.19,22.81,,,
2018-02-24,25.91,0.0,1.09,,,
2018-03-10,13.71,0.0,0.3,,,
2018-03-24,6.19,0.0,0.83,,,
2018-04-07,5.62,0.0,1.01,,,
2018-04-21,12.32,0.0,2.62,,,
2018-05-05,11.5,0.0,9.09,,,
2018-05-19,8.6,1.66,34.04,,,
2018-06-02,14.66,0.0,9.81,,,
2018-06-16,19.04,0.08,33.7,,,
2018-07-01,29.57,0.68,52.81,,,
2018-07-15,30.99,0.0,127.26,,,
2018-07-29,66.63,0.0,77.19,,,
2018-08-12,66.04,0.0,48.76,,,
2018-08-26,81.87,0.0,37.31,,,
2018-09-09,75.84,0.0,28.58,,,
2018-09-23,67.29,0.0,0.01,,,
2018-10-07,62.32,0.0,2.77,,,
2018-10-21,43.31,0.0,0.0,,,
2018-11-04,25.4,0.0,0.0,,,
2018-11-18,16.89,0.0,0.0,,,
2018-12-02,12.83,0.0,0.0,,,
2018-12-16,13.27,26.29,58.34,,,
2018-12-30,17.95,0.0,1.81,,,
2019-01-13,19.99,0.0,3.89,,,
2019-01-27,29.6,0.07,17.31,,,
2019-02-10,31.8,13.44,35.71,,,
2019-02-24,25.62,0.0,2.79,,,
2019-03-10,16.71,0.01,11.23,,,
2019-03-24,8.7,0.83,36.68,,,
2019-04-07,7.8,0.13,13.75,,,
2019-04-21,3.47,0.07,15.13,,,
2019-05-05,1.53,0.0,0.07,,,
2019-05-19,1.66,0.0,0.0,,,
2019-06-02,4.2,0.2,16.3,,,
