date,et,runoff,precipitation,ndvi_crop,ndvi_shrub,ndvi_tree
2017-07-01,96.7,0.0,201.66,,,
2017-07-15,93.95,0.0,87.23,,,
2017-07-29,111.48,0.0,154.08,,,
2017-08-12,107.7,0.0,64.01,,,
2017-08-26,105.95,0.0,20.48,,,
2017-09-09,92.76,0.0,54.37,,,
2017-09-23,86.64,0.0,74.2,,,
2017-10-07,83.87,3.17,36.76,,,
2017-10-21,73.19,0.0,0.04,,,
2017-11-04,54.6,0.0,1.02,,,
2017-11-18,50.52,0.0,0.0,,,
2017-12-02,32.15,0.0,0.0,,,
2017-12-16,24.23,0.0,0.0,,,
2017-12-30,20.15,0.0,0.0,,,
2018-01-13,18.7,0.0,0.0,,,
2018-01-27,19.65,0.0,1.83,,,
2018-02-10,18.95,0.0,2.89,,,
2018-02-24,18.09,0.0,4.93,,,
2018-03-10,14.63,0.0,1.59,,,
2018-03-24,12.52,0.0,3.78,,,
2018-04-07,12.31,0.03,30.34,,,
2018-04-21,27.88,0.0,12.24,,,
2018-05-05,23.49,0.0,9.82,,,
2018-05-19,38.02,128.54,199.02,,,
2018-06-02,49.12,0.0,35.86,,,
2018-06-16,45.41,7.18,64.96,,,
2018-07-01,74.39,0.0,80.18,,,
2018-07-15,77.64,0.0,123.98,,,
2018-07-29,97.08,0.0,81.87,,,
2018-08-12,110.9,0.0,32.66,,,
2018-08-26,108.93,0.0,64.85,,,
2018-09-09,102.89,0.0,19.76,,,
2018-09-23,98.83,0.0,0.0,,,
2018-10-07,80.88,0.0,5.34,,,
2018-10-21,64.85,0.0,0.0,,,
2018-11-04,50.36,0.0,0.0,,,
2018-11-18,34.46,0.0,0.01,,,
2018-12-02,24.77,0.0,0.08,,,
2018-12-16,24.35,128.68,186.16,,,
2018-12-30,20.46,0.0,0.0,,,
2019-01-13,16.64,0.0,2.06,,,
2019-01-27,19.06,0.71,28.16,,,
2019-02-10,33.85,8.37,35.74,,,
2019-02-24,24.95,0.0,11.15,,,
2019-03-10,18.04,0.05,25.68,,,
2019-03-24,14.47,5.57,39.99,,,
2019-04-07,27.58,7.4,13.83,,,
2019-04-21,13.77,5.62,37.64,,,
2019-05-05,15.48,0.0,7.03,,,
2019-05-19,13.15,0.0,0.0,,,
2019-06-02,28.77,7.19,38.34,,,
2019-06-16,37.54,0.0,70.71,,,
2019-07-01,70.81,0.0,96.54,,,
2019-07-15,71.18,0.0,126.79,,,
2019-07-29,84.24,0.71,61.46,,,
2019-08-12,88.37,0.0,105.34,,,
2019-08-26,93.57,0.0,17.03,,,
2019-09-09,93.75,0.05,59.05,,,
2019-09-23,64.55,0.0,218.19,,,
2019-10-07,79.74,0.04,25.15,,,
2019-10-21,57.78,0.01,20.01,,,
2019-11-04,59.46,0.0,0.0,,,
2019-11-18,42.57,0.0,0.78,,,
2019-12-02,28.47,0.0,7.57,,,
2019-12-16,24.29,0.0,0.0,,,
2019-12-30,28.06,0.0,21.46,,,
2020-01-13,29.3,0.0,1.27,,,
2020-01-27,23.18,0.0,0.83,,,
2020-02-10,21.48,0.1,18.29,,,
2020-02-24,36.27,0.12,7.48,,,
2020-03-09,33.18,5.47,69.67,,,
2020-03-23,21.6,0.0,0.0,,,
2020-04-06,13.08,0.02,13.26,,,
2020-04-20,27.93,0.02,15.21,,,
2020-05-04,19.22,0.01,19.6,,,
2020-05-18,28.53,0.23,40.71,,,
2020-06-01,32.04,0.0,46.37,,,
2020-06-15,90.04,0.0,188.6,,,
2020-07-01,89.62,0.0,132.73,,,
2020-07-15,87.84,0.0,100.89,,,
2020-07-29,103.38,0.0,120.88,,,
2020-08-12,103.17,0.0,49.06,,,
2020-08-26,99.31,0.03,130.35,,,
2020-09-09,92.28,0.0,185.96,,,
2020-09-23,84.51,0.0,101.03,,,
2020-10-07,88.63,0.48,9.55,,,
2020-10-21,79.62,0.0,0.0,,,
2020-11-04,59.49,0.0,0.0,,,
2020-11-18,36.77,0.0,7.56,,,
2020-12-02,28.93,0.0,0.44,,,
2020-12-16,22.71,0.0,0.0,,,
2020-12-30,20.81,0.0,0.03,,,
2021-01-13,18.2,0.0,0.0,,,
2021-01-27,17.39,0.0,1.98,,,
2021-02-10,18.32,0.0,1.36,,,
2021-02-24,17.1,0.0,0.0,,,
2021-03-10,12.27,0.05,16.86,,,
2021-03-24,10.35,0.0,0.0,,,
2021-04-07,7.48,0.0,0.79,,,
2021-04-21,8.12,2.89,40.66,,,
2021-05-05,18.56,4.97,62.88,,,
2021-05-19,45.72,4.95,99.78,,,
2021-06-02,42.06,0.0,41.62,,,
2021-06-16,81.54,0.0,118.44,,,
2021-07-01,79.88,0.1,47.0,,,
2021-07-15,80.52,1.6,74.65,,,
2021-07-29,84.34,0.0,94.05,,,
2021-08-12,98.47,0.0,42.03,,,
2021-08-26,95.62,0.09,42.2,,,
2021-09-09,78.58,0.01,54.63,,,
2021-09-23,83.2,3.98,107.59,,,
2021-10-07,83.14,0.07,18.3,,,
2021-10-21,76.96,0.0,0.0,,,
2021-11-04,55.28,0.0,0.0,,,
2021-11-18,42.84,0.0,0.2,,,
2021-12-02,29.58,0.0,0.0,,,
2021-12-16,23.05,0.07,34.61,,,
2021-12-30,28.72,0.07,9.19,,,
2022-01-13,28.47,0.0,2.66,,,
2022-01-27,32.52,43.63,99.44,,,
2022-02-10,25.98,0.0,0.0,,,
2022-02-24,20.92,0.02,13.4,,,
2022-03-10,16.51,0.0,0.0,,,
2022-03-24,12.84,0.0,0.0,,,
2022-04-07,9.44,0.0,0.0,,,
2022-04-21,11.19,0.0,1.39,,,
2022-05-05,17.19,0.0,9.46,,,
2022-05-19,17.32,0.0,15.24,,,
2022-06-02,10.34,0.0,17.53,,,
2022-06-16,27.94,11.45,111.03,,,
2022-07-01,42.32,0.0,45.14,,,
2022-07-15,48.14,0.0,52.69,,,
2022-07-29,54.23,0.0,62.18,,,
2022-08-12,62.05,0.0,26.42,,,
2022-08-26,70.57,0.0,104.93,,,
2022-09-09,81.91,0.0,102.82,,,
2022-09-23,84.18,0.0,108.51,,,
2022-10-07,82.69,2.78,34.75,,,
