uid,area_in_ha,latest_runoff_mm,latest_precipitation_mm,latest_et_mm,latest_surface_water_ha,latest_cropping_intensity,protection_area_ha,urbanization_area_ha,deforestation_area_ha,soge_dev_percent,soge_class_name,terrain_description,runoff_signal,surface_water_signal,cropping_signal,protection_signal,soge_signal,urbanization_pressure,deforestation_pressure,positive_signal_mean,pressure_mean,exploratory_signal_raw,exploratory_planning_signal,score_summary
12_331404,988.5625480601566,86.54,809.7,787.74,0.65,1.31,364.65,4.01,356.54,59.55,Safe,Broad Plains and Slopes,0.390180599113226,0.0017459507373284266,0.5294117647058824,0.1677557020247522,1.0,0.17056571671629092,0.18351883237526137,0.41781880331623783,0.17704227454577615,0.32929766604334976,100.0,"runoff=86.5 mm, surface water=0.65 ha, cropping=1.31, protection=364.65 ha"
12_327356,820.3548509734408,68.91,776.19,824.97,0.04,1.42,222.65,0.91,441.56,59.55,Safe,Broad Plains and Slopes,0.19952417000108139,0.00010744312229713395,0.6372549019607843,0.10042202095879368,1.0,0.03870693321990642,0.23303571948584442,0.3874617072085913,0.1358713263528754,0.31952604403215357,97.78,"runoff=68.9 mm, surface water=0.04 ha, cropping=1.42, protection=222.65 ha"
12_328674,807.1173773742319,86.48,920.52,652.04,0.52,1.12,565.26,2.37,252.96,51.59,Safe,Broad Plains and Slopes,0.38953174002379154,0.0013967605898627415,0.34313725490196084,0.2628811228602589,0.8397100281917037,0.10080816673755848,0.12319233076488506,0.36733138131351556,0.11200024875122178,0.31133125693790464,95.91,"runoff=86.5 mm, surface water=0.52 ha, cropping=1.12, protection=565.26 ha"
12_320165,1131.619099593128,108.13,902.85,789.78,2.24,1.27,806.58,11.73,275.67,51.59,Safe,Broad Plains and Slopes,0.6236617281280414,0.006016814848639502,0.49019607843137253,0.3773104462041823,0.8397100281917037,0.49893662271373884,0.1364189657481989,0.46737901916078795,0.31767779423096887,0.3085401220453035,95.27,"runoff=108.1 mm, surface water=2.24 ha, cropping=1.27, protection=806.58 ha"
12_324448,1550.276252541772,126.45,901.42,584.22,8.09,1.17,1147.08,7.85,198.8,22.7,Safe,Mostly Plains,0.8217800367686818,0.02173037148459534,0.3921568627450979,0.5387690265067097,0.2579540877970197,0.3339004678860059,0.09164875741850564,0.4064780770604209,0.21277461265225578,0.300090770734293,93.35,"runoff=126.5 mm, surface water=8.09 ha, cropping=1.17, protection=1147.08 ha"
12_325489,733.0533204508254,142.93,886.0,905.21,3.69,1.14,397.57,8.33,41.44,22.7,Safe,Mostly Plains,1.0,0.009911628031910607,0.36274509803921556,0.18336573569159276,0.2579540877970197,0.3543173117822203,0.0,0.36279530991194775,0.17715865589111016,0.2742159819663927,87.46,"runoff=142.9 mm, surface water=3.69 ha, cropping=1.14, protection=397.57 ha"
12_318638,2132.466458531583,101.7,874.93,682.2,4.93,1.19,705.25,9.67,669.09,59.55,Safe,Broad Plains and Slopes,0.5541256623769871,0.013242364823121758,0.41176470588235287,0.32926170041253733,1.0,0.41131433432581876,0.36555250758594987,0.46167888669899976,0.3884334209558843,0.2674621762210576,85.92,"runoff=101.7 mm, surface water=4.93 ha, cropping=1.19, protection=705.25 ha"
12_325713,1302.809932218913,142.19,898.84,540.07,4.12,1.01,597.57,7.96,84.01,22.7,Safe,Mostly Plains,0.9919974045636422,0.011066641596604797,0.23529411764705882,0.2782019062070274,0.2579540877970197,0.33857932794555506,0.02479338842975207,0.35490283156227054,0.18168635818765358,0.26405965246844376,85.15,"runoff=142.2 mm, surface water=4.12 ha, cropping=1.01, protection=597.57 ha"
12_319886,1994.482696898538,94.22,904.44,655.71,0.34,1.19,1330.78,11.93,690.11,51.59,Safe,Broad Plains and Slopes,0.4732345625608305,0.0009132665395256386,0.41176470588235287,0.6258760491251364,0.8397100281917037,0.5074436410038281,0.3777948619386252,0.4702997224599098,0.44261925147122666,0.24899009672429648,81.72,"runoff=94.2 mm, surface water=0.34 ha, cropping=1.19, protection=1330.78 ha"
12_328894,1656.927550323368,60.22,776.77,827.77,0.84,1.41,430.29,1.44,1010.23,59.55,Safe,Broad Plains and Slopes,0.1055477452146642,0.002256305568239813,0.6274509803921567,0.19888093318791786,1.0,0.061250531688643126,0.5642374154770848,0.38682719287259576,0.312743973582864,0.23045520608116377,77.5,"runoff=60.2 mm, surface water=0.84 ha, cropping=1.41, protection=430.29 ha"
